gen,score,robo
0,2054,sample.Crazy
1,2054,sample.Crazy
2,2054,sample.Crazy
3,2476,sample.Crazy
4,2476,sample.Crazy
5,2578,sample.Crazy
6,2578,sample.Crazy
7,2578,sample.Crazy
8,2578,sample.Crazy
9,2578,sample.Crazy
10,2578,sample.Crazy
11,2578,sample.Crazy
12,2578,sample.Crazy
13,2578,sample.Crazy
14,2578,sample.Crazy
15,4121,sample.Crazy
16,4121,sample.Crazy
17,4121,sample.Crazy
18,4121,sample.Crazy
19,4121,sample.Crazy
20,4121,sample.Crazy
21,4121,sample.Crazy
22,4121,sample.Crazy
23,4121,sample.Crazy
24,4121,sample.Crazy
25,4121,sample.Crazy
26,4121,sample.Crazy
27,4121,sample.Crazy
28,4121,sample.Crazy
29,4121,sample.Crazy
30,4121,sample.Crazy
31,4121,sample.Crazy
32,4121,sample.Crazy
33,4121,sample.Crazy
34,4121,sample.Crazy
35,4121,sample.Crazy
36,4121,sample.Crazy
37,4121,sample.Crazy
38,4121,sample.Crazy
39,4121,sample.Crazy
40,4121,sample.Crazy
41,4121,sample.Crazy
42,4121,sample.Crazy
43,4121,sample.Crazy
44,4121,sample.Crazy
45,4121,sample.Crazy
46,4121,sample.Crazy
47,4121,sample.Crazy
48,4121,sample.Crazy
49,4121,sample.Crazy
50,4121,sample.Crazy
51,4121,sample.Crazy
52,4121,sample.Crazy
53,4121,sample.Crazy
54,4121,sample.Crazy
55,4121,sample.Crazy
56,4121,sample.Crazy
57,4121,sample.Crazy
58,4121,sample.Crazy
59,4121,sample.Crazy
60,4121,sample.Crazy
61,4121,sample.Crazy
62,4121,sample.Crazy
63,4121,sample.Crazy
64,4121,sample.Crazy
65,4121,sample.Crazy
66,4121,sample.Crazy
67,4121,sample.Crazy
68,4121,sample.Crazy
69,4121,sample.Crazy
70,4121,sample.Crazy
71,4121,sample.Crazy
72,4121,sample.Crazy
73,4121,sample.Crazy
74,4121,sample.Crazy
75,4121,sample.Crazy
76,4121,sample.Crazy
77,4121,sample.Crazy
78,4121,sample.Crazy
79,4121,sample.Crazy
80,4121,sample.Crazy
81,4121,sample.Crazy
82,4121,sample.Crazy
83,4121,sample.Crazy
84,4121,sample.Crazy
85,4121,sample.Crazy
86,4121,sample.Crazy
87,4121,sample.Crazy
88,4121,sample.Crazy
89,4385,sample.Crazy
90,4385,sample.Crazy
91,4385,sample.Crazy
92,4385,sample.Crazy
93,4385,sample.Crazy
94,4385,sample.Crazy
95,4385,sample.Crazy
96,4385,sample.Crazy
97,4385,sample.Crazy
98,4385,sample.Crazy
99,4385,sample.Crazy
0,618,sample.RamFire
1,1969,sample.RamFire
2,1969,sample.RamFire
3,1969,sample.RamFire
4,1969,sample.RamFire
5,1969,sample.RamFire
6,1969,sample.RamFire
7,1969,sample.RamFire
8,1969,sample.RamFire
9,1969,sample.RamFire
10,1969,sample.RamFire
11,3055,sample.RamFire
12,3055,sample.RamFire
13,3055,sample.RamFire
14,3055,sample.RamFire
15,3055,sample.RamFire
16,3055,sample.RamFire
17,3055,sample.RamFire
