gen,score,robo
0,2054,sample.Crazy(B)
0,2054,sample.Crazy(M)
1,2054,sample.Crazy(B)
1,1668,sample.Crazy(M)
2,2054,sample.Crazy(B)
2,1119,sample.Crazy(M)
3,2476,sample.Crazy(B)
3,2476,sample.Crazy(M)
4,2476,sample.Crazy(B)
4,888,sample.Crazy(M)
5,2578,sample.Crazy(B)
5,2578,sample.Crazy(M)
6,2578,sample.Crazy(B)
6,896,sample.Crazy(M)
7,2578,sample.Crazy(B)
7,1146,sample.Crazy(M)
8,2578,sample.Crazy(B)
8,1827,sample.Crazy(M)
9,2578,sample.Crazy(B)
9,1429,sample.Crazy(M)
10,2578,sample.Crazy(B)
10,1837,sample.Crazy(M)
11,2578,sample.Crazy(B)
11,478,sample.Crazy(M)
12,2578,sample.Crazy(B)
12,43,sample.Crazy(M)
13,2578,sample.Crazy(B)
13,162,sample.Crazy(M)
14,2578,sample.Crazy(B)
14,515,sample.Crazy(M)
15,4121,sample.Crazy(B)
15,4121,sample.Crazy(M)
16,4121,sample.Crazy(B)
16,1215,sample.Crazy(M)
17,4121,sample.Crazy(B)
17,2466,sample.Crazy(M)
18,4121,sample.Crazy(B)
18,96,sample.Crazy(M)
19,4121,sample.Crazy(B)
19,947,sample.Crazy(M)
20,4121,sample.Crazy(B)
20,648,sample.Crazy(M)
21,4121,sample.Crazy(B)
21,2687,sample.Crazy(M)
22,4121,sample.Crazy(B)
22,1193,sample.Crazy(M)
23,4121,sample.Crazy(B)
23,1519,sample.Crazy(M)
24,4121,sample.Crazy(B)
24,3222,sample.Crazy(M)
25,4121,sample.Crazy(B)
25,384,sample.Crazy(M)
26,4121,sample.Crazy(B)
26,1194,sample.Crazy(M)
27,4121,sample.Crazy(B)
27,818,sample.Crazy(M)
28,4121,sample.Crazy(B)
28,1094,sample.Crazy(M)
29,4121,sample.Crazy(B)
29,2876,sample.Crazy(M)
30,4121,sample.Crazy(B)
30,2419,sample.Crazy(M)
31,4121,sample.Crazy(B)
31,3367,sample.Crazy(M)
32,4121,sample.Crazy(B)
32,2976,sample.Crazy(M)
33,4121,sample.Crazy(B)
33,2185,sample.Crazy(M)
34,4121,sample.Crazy(B)
34,1858,sample.Crazy(M)
35,4121,sample.Crazy(B)
35,165,sample.Crazy(M)
36,4121,sample.Crazy(B)
36,936,sample.Crazy(M)
37,4121,sample.Crazy(B)
37,1787,sample.Crazy(M)
38,4121,sample.Crazy(B)
