gen,score,robo
0,618,sample.RamFire(B)
0,350,sample.RamFire(M)
1,1969,sample.RamFire(B)
1,1969,sample.RamFire(M)
2,1969,sample.RamFire(B)
2,250,sample.RamFire(M)
3,1969,sample.RamFire(B)
3,340,sample.RamFire(M)
4,1969,sample.RamFire(B)
4,1609,sample.RamFire(M)
5,1969,sample.RamFire(B)
5,809,sample.RamFire(M)
6,1969,sample.RamFire(B)
6,296,sample.RamFire(M)
7,1969,sample.RamFire(B)
7,668,sample.RamFire(M)
8,1969,sample.RamFire(B)
8,260,sample.RamFire(M)
9,1969,sample.RamFire(B)
9,1276,sample.RamFire(M)
10,1969,sample.RamFire(B)
10,1296,sample.RamFire(M)
11,3055,sample.RamFire(B)
11,3055,sample.RamFire(M)
12,3055,sample.RamFire(B)
12,318,sample.RamFire(M)
13,3055,sample.RamFire(B)
13,379,sample.RamFire(M)
14,3055,sample.RamFire(B)
14,2624,sample.RamFire(M)
15,3055,sample.RamFire(B)
15,116,sample.RamFire(M)
16,3055,sample.RamFire(B)
16,355,sample.RamFire(M)
17,3055,sample.RamFire(B)
17,582,sample.RamFire(M)
18,3055,sample.RamFire(B)
18,354,sample.RamFire(M)
19,3055,sample.RamFire(B)
19,556,sample.RamFire(M)
20,3055,sample.RamFire(B)
20,242,sample.RamFire(M)
21,3055,sample.RamFire(B)
21,1446,sample.RamFire(M)
22,3055,sample.RamFire(B)
22,1609,sample.RamFire(M)
23,3055,sample.RamFire(B)
23,526,sample.RamFire(M)
24,3055,sample.RamFire(B)
24,632,sample.RamFire(M)
25,3055,sample.RamFire(B)
25,1834,sample.RamFire(M)
26,3177,sample.RamFire(B)
26,3177,sample.RamFire(M)
27,3177,sample.RamFire(B)
27,860,sample.RamFire(M)
28,3177,sample.RamFire(B)
28,1748,sample.RamFire(M)
29,3177,sample.RamFire(B)
29,1182,sample.RamFire(M)
30,3177,sample.RamFire(B)
30,1304,sample.RamFire(M)
31,3177,sample.RamFire(B)
31,621,sample.RamFire(M)
32,3177,sample.RamFire(B)
32,822,sample.RamFire(M)
33,3177,sample.RamFire(B)
33,214,sample.RamFire(M)
34,3177,sample.RamFire(B)
34,2548,sample.RamFire(M)
35,3177,sample.RamFire(B)
35,441,sample.RamFire(M)
36,3177,sample.RamFire(B)
36,710,sample.RamFire(M)
37,3177,sample.RamFire(B)
37,1055,sample.RamFire(M)
38,3177,sample.RamFire(B)
38,1886,sample.RamFire(M)
39,3177,sample.RamFire(B)
39,284,sample.RamFire(M)
40,3177,sample.RamFire(B)
40,816,sample.RamFire(M)
41,3177,sample.RamFire(B)
41,1324,sample.RamFire(M)
42,3177,sample.RamFire(B)
42,1370,sample.RamFire(M)
43,3177,sample.RamFire(B)
43,1044,sample.RamFire(M)
44,3177,sample.RamFire(B)
44,181,sample.RamFire(M)
45,3177,sample.RamFire(B)
45,1586,sample.RamFire(M)
46,3177,sample.RamFire(B)
46,756,sample.RamFire(M)
47,3177,sample.RamFire(B)
47,900,sample.RamFire(M)
48,3177,sample.RamFire(B)
48,845,sample.RamFire(M)
49,3177,sample.RamFire(B)
