gen,score,robo
0,1805,sample.Walls(B)
0,1805,sample.Walls(M)
1,1805,sample.Walls(B)
1,96,sample.Walls(M)
2,1805,sample.Walls(B)
2,768,sample.Walls(M)
3,1805,sample.Walls(B)
3,623,sample.Walls(M)
4,1805,sample.Walls(B)
4,164,sample.Walls(M)
5,1805,sample.Walls(B)
5,324,sample.Walls(M)
6,1952,sample.Walls(B)
6,1952,sample.Walls(M)
7,1952,sample.Walls(B)
7,24,sample.Walls(M)
8,1952,sample.Walls(B)
8,312,sample.Walls(M)
9,1952,sample.Walls(B)
9,305,sample.Walls(M)
10,1952,sample.Walls(B)
10,0,sample.Walls(M)
11,1952,sample.Walls(B)
11,24,sample.Walls(M)
12,1952,sample.Walls(B)
12,228,sample.Walls(M)
13,1952,sample.Walls(B)
13,56,sample.Walls(M)
14,1952,sample.Walls(B)
14,0,sample.Walls(M)
15,1952,sample.Walls(B)
15,210,sample.Walls(M)
16,1952,sample.Walls(B)
16,326,sample.Walls(M)
17,1952,sample.Walls(B)
17,0,sample.Walls(M)
18,1952,sample.Walls(B)
18,0,sample.Walls(M)
19,1952,sample.Walls(B)
19,288,sample.Walls(M)
20,1952,sample.Walls(B)
20,90,sample.Walls(M)
21,1952,sample.Walls(B)
21,636,sample.Walls(M)
22,1952,sample.Walls(B)
22,144,sample.Walls(M)
23,1952,sample.Walls(B)
23,1224,sample.Walls(M)
24,1952,sample.Walls(B)
24,312,sample.Walls(M)
25,1952,sample.Walls(B)
25,192,sample.Walls(M)
26,1952,sample.Walls(B)
26,336,sample.Walls(M)
27,1952,sample.Walls(B)
27,564,sample.Walls(M)
28,1952,sample.Walls(B)
28,456,sample.Walls(M)
29,1952,sample.Walls(B)
29,228,sample.Walls(M)
30,1952,sample.Walls(B)
30,0,sample.Walls(M)
31,1952,sample.Walls(B)
31,18,sample.Walls(M)
32,1952,sample.Walls(B)
32,0,sample.Walls(M)
33,1952,sample.Walls(B)
33,493,sample.Walls(M)
34,1952,sample.Walls(B)
34,49,sample.Walls(M)
35,1952,sample.Walls(B)
35,48,sample.Walls(M)
36,1952,sample.Walls(B)
36,36,sample.Walls(M)
37,1952,sample.Walls(B)
37,216,sample.Walls(M)
38,1952,sample.Walls(B)
38,636,sample.Walls(M)
39,1952,sample.Walls(B)
39,60,sample.Walls(M)
40,1952,sample.Walls(B)
40,120,sample.Walls(M)
41,1952,sample.Walls(B)
41,372,sample.Walls(M)
42,1952,sample.Walls(B)
42,954,sample.Walls(M)
43,1952,sample.Walls(B)
43,618,sample.Walls(M)
44,1952,sample.Walls(B)
44,199,sample.Walls(M)
45,1952,sample.Walls(B)
45,192,sample.Walls(M)
46,1952,sample.Walls(B)
46,224,sample.Walls(M)
47,1952,sample.Walls(B)
47,846,sample.Walls(M)
48,1952,sample.Walls(B)
48,1560,sample.Walls(M)
49,1952,sample.Walls(B)
49,192,sample.Walls(M)
50,1952,sample.Walls(B)
50,318,sample.Walls(M)
51,1952,sample.Walls(B)
51,884,sample.Walls(M)
52,1952,sample.Walls(B)
52,1796,sample.Walls(M)
53,1952,sample.Walls(B)
53,161,sample.Walls(M)
54,1952,sample.Walls(B)
54,360,sample.Walls(M)
55,1952,sample.Walls(B)
55,439,sample.Walls(M)
56,1952,sample.Walls(B)
56,72,sample.Walls(M)
57,1952,sample.Walls(B)
57,132,sample.Walls(M)
58,1952,sample.Walls(B)
58,580,sample.Walls(M)
59,1952,sample.Walls(B)
59,690,sample.Walls(M)
60,1952,sample.Walls(B)
60,1116,sample.Walls(M)
61,1952,sample.Walls(B)
61,341,sample.Walls(M)
62,1952,sample.Walls(B)
62,352,sample.Walls(M)
63,1952,sample.Walls(B)
63,793,sample.Walls(M)
64,1952,sample.Walls(B)
64,180,sample.Walls(M)
65,1952,sample.Walls(B)
65,318,sample.Walls(M)
66,1952,sample.Walls(B)
66,340,sample.Walls(M)
67,1952,sample.Walls(B)
67,1424,sample.Walls(M)
68,1952,sample.Walls(B)
68,144,sample.Walls(M)
69,1952,sample.Walls(B)
69,324,sample.Walls(M)
70,1952,sample.Walls(B)
70,1170,sample.Walls(M)
71,1952,sample.Walls(B)
71,528,sample.Walls(M)
72,1952,sample.Walls(B)
72,216,sample.Walls(M)
73,1952,sample.Walls(B)
73,852,sample.Walls(M)
74,1952,sample.Walls(B)
74,89,sample.Walls(M)
75,1952,sample.Walls(B)
75,0,sample.Walls(M)
76,1952,sample.Walls(B)
76,354,sample.Walls(M)
77,1952,sample.Walls(B)
77,1754,sample.Walls(M)
78,1952,sample.Walls(B)
78,276,sample.Walls(M)
79,1952,sample.Walls(B)
79,32,sample.Walls(M)
80,1952,sample.Walls(B)
80,240,sample.Walls(M)
81,1952,sample.Walls(B)
81,120,sample.Walls(M)
82,1952,sample.Walls(B)
82,180,sample.Walls(M)
83,1952,sample.Walls(B)
83,48,sample.Walls(M)
84,1952,sample.Walls(B)
84,246,sample.Walls(M)
85,1952,sample.Walls(B)
85,48,sample.Walls(M)
86,1952,sample.Walls(B)
86,876,sample.Walls(M)
87,1952,sample.Walls(B)
87,960,sample.Walls(M)
88,1952,sample.Walls(B)
88,84,sample.Walls(M)
89,1952,sample.Walls(B)
89,0,sample.Walls(M)
90,1952,sample.Walls(B)
90,72,sample.Walls(M)
91,1952,sample.Walls(B)
91,348,sample.Walls(M)
92,1952,sample.Walls(B)
92,24,sample.Walls(M)
93,1952,sample.Walls(B)
93,108,sample.Walls(M)
94,1952,sample.Walls(B)
94,240,sample.Walls(M)
95,1952,sample.Walls(B)
95,272,sample.Walls(M)
96,1952,sample.Walls(B)
96,31,sample.Walls(M)
97,1952,sample.Walls(B)
97,154,sample.Walls(M)
98,1952,sample.Walls(B)
98,384,sample.Walls(M)
99,1952,sample.Walls(B)
99,0,sample.Walls(M)
