Cod_setor,Cod_Grandes Regiões,Nome_Grande_Regiao,Cod_UF,Nome_da_UF,Cod_meso,Nome_da_meso,Cod_micro,Nome_da_micro,Cod_RM,Nome_da_RM,Cod_municipio,Nome_do_municipio,Cod_distrito,Nome_do_distrito,Cod_subdistrito,Nome_do_subdistrito,Cod_bairro,Nome_do_bairro,Situacao_setor,Tipo_setor,V001,V002,V003,V004,V005,V006,V007,V008,V009,V010,V011,V012,X34
330390605000001,3,Região Sudeste,33,Rio de Janeiro,3306,Metropolitana do Rio de Janeiro,33015,Serrana,00,Municípios não pertencentes a estrutura de RM,3303906,PETRÓPOLIS,330390605,PETRÓPOLIS,33039060500,PETRÓPOLIS,3303906e3,PETRÓPOLIS (todos os setores),1,0,235,375,1.6,0.8,2259.54,4613837.34,2552.84,4463263.42,1855.93,4356916.64,2394.75,4331401.24,NA
330390605000002,3,Região Sudeste,33,Rio de Janeiro,3306,Metropolitana do Rio de Janeiro,33015,Serrana,00,Municípios não pertencentes a estrutura de RM,3303906,PETRÓPOLIS,330390605,PETRÓPOLIS,33039060500,PETRÓPOLIS,3303906e3,PETRÓPOLIS (todos os setores),1,0,81,123,1.52,0.88,3546.73,26637632.2,3591.06,26813595.6,2928.26,20449792.2,3170.05,21380380.95,NA
330390605000003,3,Região Sudeste,33,Rio de Janeiro,3306,Metropolitana do Rio de Janeiro,33015,Serrana,00,Municípios não pertencentes a estrutura de RM,3303906,PETRÓPOLIS,330390605,PETRÓPOLIS,33039060500,PETRÓPOLIS,3303906e3,PETRÓPOLIS (todos os setores),1,0,185,398,2.15,1.24,4175.58,19339704.81,4681.72,19314193.95,2699.24,13986891.88,3815.46,15517782.93,NA
330390605000004,3,Região Sudeste,33,Rio de Janeiro,3306,Metropolitana do Rio de Janeiro,33015,Serrana,00,Municípios não pertencentes a estrutura de RM,3303906,PETRÓPOLIS,330390605,PETRÓPOLIS,33039060500,PETRÓPOLIS,3303906e3,PETRÓPOLIS (todos os setores),1,0,250,510,2.04,1.18,3660.79,11779959.03,4014.02,11497494.12,2667.7,10375430.13,3494.11,10702890.32,NA
330390605000005,3,Região Sudeste,33,Rio de Janeiro,3306,Metropolitana do Rio de Janeiro,33015,Serrana,00,Municípios não pertencentes a estrutura de RM,3303906,PETRÓPOLIS,330390605,PETRÓPOLIS,33039060500,PETRÓPOLIS,3303906e3,PETRÓPOLIS (todos os setores),1,0,177,412,2.33,1.4,4112.14,15059121.12,4358.37,14886645.67,2707.38,10992161.43,3570.06,11416330.72,NA
330390605000006,3,Região Sudeste,33,Rio de Janeiro,3306,Metropolitana do Rio de Janeiro,33015,Serrana,00,Municípios não pertencentes a estrutura de RM,3303906,PETRÓPOLIS,330390605,PETRÓPOLIS,33039060500,PETRÓPOLIS,3303906e3,PETRÓPOLIS (todos os setores),1,0,217,463,2.13,1.51,3213.33,8062177.07,3336.33,7959924.81,2172.67,6543285.95,2766.96,6689119.12,NA
330390605000007,3,Região Sudeste,33,Rio de Janeiro,3306,Metropolitana do Rio de Janeiro,33015,Serrana,00,Municípios não pertencentes a estrutura de RM,3303906,PETRÓPOLIS,330390605,PETRÓPOLIS,33039060500,PETRÓPOLIS,3303906e3,PETRÓPOLIS (todos os setores),1,0,222,440,1.98,1.27,2259.07,5012521.38,2495.09,4946995.65,1743.29,4366344.62,2207.11,4504772.47,NA
330390605000008,3,Região Sudeste,33,Rio de Janeiro,3306,Metropolitana do Rio de Janeiro,33015,Serrana,00,Municípios não pertencentes a estrutura de RM,3303906,PETRÓPOLIS,330390605,PETRÓPOLIS,33039060500,PETRÓPOLIS,3303906e3,PETRÓPOLIS (todos os setores),1,0,181,485,2.68,1.71,2645.34,8448637.33,2800.04,8509906.15,1642.67,5638085.55,2181.98,6314417.9,NA
330390605000009,3,Região Sudeste,33,Rio de Janeiro,3306,Metropolitana do Rio de Janeiro,33015,Serrana,00,Municípios não pertencentes a estrutura de RM,3303906,PETRÓPOLIS,330390605,PETRÓPOLIS,33039060500,PETRÓPOLIS,3303906e3,PETRÓPOLIS (todos os setores),1,0,196,472,2.41,1.62,4910.27,25263685.82,5346.74,25175172.04,3131.8,19218315.16,4323.46,21385676.15,NA
330390605000010,3,Região Sudeste,33,Rio de Janeiro,3306,Metropolitana do Rio de Janeiro,33015,Serrana,00,Municípios não pertencentes a estrutura de RM,3303906,PETRÓPOLIS,330390605,PETRÓPOLIS,33039060500,PETRÓPOLIS,3303906e3,PETRÓPOLIS (todos os setores),1,0,295,665,2.25,1.22,4543.18,209363211.18,5538.17,249872429.31,3626.83,116540375.95,4858.88,150214604.31,NA
330390605000011,3,Região Sudeste,33,Rio de Janeiro,3306,Metropolitana do Rio de Janeiro,33015,Serrana,00,Municípios não pertencentes a estrutura de RM,3303906,PETRÓPOLIS,330390605,PETRÓPOLIS,33039060500,PETRÓPOLIS,3303906e3,PETRÓPOLIS (todos os setores),1,0,216,474,2.19,1.49,4027.54,15876082.28,4328.1,15759419.87,2562.47,11792154.02,3434.64,12813247.01,NA
330390605000012,3,Região Sudeste,33,Rio de Janeiro,3306,Metropolitana do Rio de Janeiro,33015,Serrana,00,Municípios não pertencentes a estrutura de RM,3303906,PETRÓPOLIS,330390605,PETRÓPOLIS,33039060500,PETRÓPOLIS,3303906e3,PETRÓPOLIS (todos os setores),1,0,248,673,2.71,1.88,4803.57,28591115.67,5202.12,28891310.98,2718.12,17856123.13,3999.53,21156869.42,NA
330390605000013,3,Região Sudeste,33,Rio de Janeiro,3306,Metropolitana do Rio de Janeiro,33015,Serrana,00,Municípios não pertencentes a estrutura de RM,3303906,PETRÓPOLIS,330390605,PETRÓPOLIS,33039060500,PETRÓPOLIS,3303906e3,PETRÓPOLIS (todos os setores),1,0,167,387,2.32,1.74,3165.77,9567087.98,3367.41,9496999.62,2030.7,6665204.02,2678.49,7057694.69,NA
330390605000014,3,Região Sudeste,33,Rio de Janeiro,3306,Metropolitana do Rio de Janeiro,33015,Serrana,00,Municípios não pertencentes a estrutura de RM,3303906,PETRÓPOLIS,330390605,PETRÓPOLIS,33039060500,PETRÓPOLIS,3303906e3,PETRÓPOLIS (todos os setores),1,0,238,498,2.09,1.15,2115.47,3062048.37,2320.2,2882549.67,1777,4041525.89,2311.07,4021859.38,NA
330390605000015,3,Região Sudeste,33,Rio de Janeiro,3306,Metropolitana do Rio de Janeiro,33015,Serrana,00,Municípios não pertencentes a estrutura de RM,3303906,PETRÓPOLIS,330390605,PETRÓPOLIS,33039060500,PETRÓPOLIS,3303906e3,PETRÓPOLIS (todos os setores),1,0,248,660,2.66,2.02,1613.63,3864464.38,1755.18,3955412.6,948.13,2140732.03,1354.78,2508830.72,NA
330390605000016,3,Região Sudeste,33,Rio de Janeiro,3306,Metropolitana do Rio de Janeiro,33015,Serrana,00,Municípios não pertencentes a estrutura de RM,3303906,PETRÓPOLIS,330390605,PETRÓPOLIS,33039060500,PETRÓPOLIS,3303906e3,PETRÓPOLIS (todos os setores),1,0,253,718,2.84,2.32,3985.71,28508274.8,4346.48,29525044.42,2542.64,17073774.18,3438.46,20015166.63,NA
330390605000017,3,Região Sudeste,33,Rio de Janeiro,3306,Metropolitana do Rio de Janeiro,33015,Serrana,00,Municípios não pertencentes a estrutura de RM,3303906,PETRÓPOLIS,330390605,PETRÓPOLIS,33039060500,PETRÓPOLIS,3303906e3,PETRÓPOLIS (todos os setores),1,0,194,515,2.65,1.46,6650.35,58982963.73,6862.6,59411122.98,3897.49,37614790.11,5363.21,43917502.34,NA
330390605000018,3,Região Sudeste,33,Rio de Janeiro,3306,Metropolitana do Rio de Janeiro,33015,Serrana,00,Municípios não pertencentes a estrutura de RM,3303906,PETRÓPOLIS,330390605,PETRÓPOLIS,33039060500,PETRÓPOLIS,3303906e3,PETRÓPOLIS (todos os setores),1,0,184,467,2.54,1.73,3808.65,13579729.23,3893.29,13551830.82,2421.33,10191071.8,3182.11,10974582.72,NA
330390605000019,3,Região Sudeste,33,Rio de Janeiro,3306,Metropolitana do Rio de Janeiro,33015,Serrana,00,Municípios não pertencentes a estrutura de RM,3303906,PETRÓPOLIS,330390605,PETRÓPOLIS,33039060500,PETRÓPOLIS,3303906e3,PETRÓPOLIS (todos os setores),1,7,NA,NA,NA,NA,NA,NA,NA,NA,364.8,94784.33,570,26893.33,NA
330390605000020,3,Região Sudeste,33,Rio de Janeiro,3306,Metropolitana do Rio de Janeiro,33015,Serrana,00,Municípios não pertencentes a estrutura de RM,3303906,PETRÓPOLIS,330390605,PETRÓPOLIS,33039060500,PETRÓPOLIS,3303906e3,PETRÓPOLIS (todos os setores),1,0,171,427,2.5,1.46,3072.53,6846362.83,3243.23,6672033.35,1919.67,5516215.81,2663.62,5672921.19,NA
330390605000021,3,Região Sudeste,33,Rio de Janeiro,3306,Metropolitana do Rio de Janeiro,33015,Serrana,00,Municípios não pertencentes a estrutura de RM,3303906,PETRÓPOLIS,330390605,PETRÓPOLIS,33039060500,PETRÓPOLIS,3303906e3,PETRÓPOLIS (todos os setores),1,0,250,591,2.36,1.87,1732.86,11957989.82,1987.22,13213572.99,1281.75,7132989.73,1712.14,8795316.24,NA
330390605000022,3,Região Sudeste,33,Rio de Janeiro,3306,Metropolitana do Rio de Janeiro,33015,Serrana,00,Municípios não pertencentes a estrutura de RM,3303906,PETRÓPOLIS,330390605,PETRÓPOLIS,33039060500,PETRÓPOLIS,3303906e3,PETRÓPOLIS (todos os setores),1,0,245,493,2.01,1.27,2368.87,5256065.82,2448.84,5237594.11,1667.15,4110248.49,2105.17,4268470.2,NA
330390605000023,3,Região Sudeste,33,Rio de Janeiro,3306,Metropolitana do Rio de Janeiro,33015,Serrana,00,Municípios não pertencentes a estrutura de RM,3303906,PETRÓPOLIS,330390605,PETRÓPOLIS,33039060500,PETRÓPOLIS,3303906e3,PETRÓPOLIS (todos os setores),1,0,236,466,1.97,1.3,2058.06,5891234.69,2111.75,5931718.5,1545.96,4341466.97,1906.1,4667297.1,NA
330390605000024,3,Região Sudeste,33,Rio de Janeiro,3306,Metropolitana do Rio de Janeiro,33015,Serrana,00,Municípios não pertencentes a estrutura de RM,3303906,PETRÓPOLIS,330390605,PETRÓPOLIS,33039060500,PETRÓPOLIS,3303906e3,PETRÓPOLIS (todos os setores),1,0,161,464,2.88,1.9,2154.03,7326400.17,2194.93,7376052.12,1320.36,3976347.32,1670.1,4446911.39,NA
330390605000025,3,Região Sudeste,33,Rio de Janeiro,3306,Metropolitana do Rio de Janeiro,33015,Serrana,00,Municípios não pertencentes a estrutura de RM,3303906,PETRÓPOLIS,330390605,PETRÓPOLIS,33039060500,PETRÓPOLIS,3303906e3,PETRÓPOLIS (todos os setores),1,0,338,1009,2.99,2.53,849.66,1154188.15,1007.67,1209803.5,590.66,858035.65,922.97,1034375.66,NA
330390605000026,3,Região Sudeste,33,Rio de Janeiro,3306,Metropolitana do Rio de Janeiro,33015,Serrana,00,Municípios não pertencentes a estrutura de RM,3303906,PETRÓPOLIS,330390605,PETRÓPOLIS,33039060500,PETRÓPOLIS,3303906e3,PETRÓPOLIS (todos os setores),1,0,202,597,2.96,1.63,993.33,688598.02,1050.54,668049.1,650.4,538758.65,927.39,511249.33,NA
