estado,ano,turno,situacao,quantidade,proporcao
Acre,1989,1,DEMAIS,54787,29.971.498.438.158.100
Acre,1989,1,VALIDOS,128010,7.002.850.156.184.180
Acre,1989,2,DEMAIS,54787,29.971.498.438.158.100
Acre,1989,2,VALIDOS,128010,7.002.850.156.184.180
Acre,1994,1,DEMAIS,96277,3.658.468.927.884.720
Acre,1994,1,VALIDOS,166885,6.341.531.072.115.270
Acre,1998,1,DEMAIS,125874,394.645.012.619.335
Acre,1998,1,VALIDOS,193081,605.354.987.380.665
Acre,2002,1,DEMAIS,104897,2.836.694.736.955.960
Acre,2002,1,VALIDOS,264889,7.163.305.263.044.030
Acre,2002,2,DEMAIS,135620,36.675.266.235.065.600
Acre,2002,2,VALIDOS,234166,6.332.473.376.493.430
Acre,2006,1,DEMAIS,513074,6.213.956.980.912.700
Acre,2006,1,VALIDOS,312606,3.786.043.019.087.290
Acre,2006,2,DEMAIS,536185,6.493.859.606.627.260
Acre,2006,2,VALIDOS,289495,35.061.403.933.727.300
Acre,2010,1,DEMAIS,124724,2.650.628.526.495.870
Acre,2010,1,VALIDOS,345821,7.349.371.473.504.120
Acre,2010,2,DEMAIS,150465,3.200.021.267.545.720
Acre,2010,2,VALIDOS,319735,6.799.978.732.454.270
Acre,2014,1,DEMAIS,107629,21.248.716.733.791.300
Acre,2014,1,VALIDOS,398891,7.875.128.326.620.860
Acre,2014,2,DEMAIS,124070,2.449.449.382.257.820
Acre,2014,2,VALIDOS,382452,7.550.550.617.742.170
Alagoas,1989,1,DEMAIS,349327,2.885.099.649.239.300
Alagoas,1989,1,VALIDOS,861470,7.114.900.350.760.690
Alagoas,1989,2,DEMAIS,349327,2.885.099.649.239.300
Alagoas,1989,2,VALIDOS,861470,7.114.900.350.760.690
Alagoas,1994,1,DEMAIS,467825,40.434.662.356.632.200
Alagoas,1994,1,VALIDOS,689165,595.653.376.433.677
Alagoas,1998,1,DEMAIS,662947,4.791.464.296.039.310
Alagoas,1998,1,VALIDOS,720653,5.208.535.703.960.680
Alagoas,2002,1,DEMAIS,523906,3.274.224.232.106.650
Alagoas,2002,1,VALIDOS,1076186,6.725.775.767.893.340
Alagoas,2002,2,DEMAIS,506181,31.634.493.516.622.700
Alagoas,2002,2,VALIDOS,1093911,683.655.064.833.772
Alagoas,2006,1,DEMAIS,2378259,6.394.933.118.650.460
Alagoas,2006,1,VALIDOS,1340715,36.050.668.813.495.300
Alagoas,2006,2,DEMAIS,2380410,6.400.716.971.939.030
Alagoas,2006,2,VALIDOS,1338564,3.599.283.028.060.960
Alagoas,2010,1,DEMAIS,639404,31.443.783.891.972.500
Alagoas,2010,1,VALIDOS,1394079,6.855.621.610.802.740
Alagoas,2010,2,DEMAIS,658914,32.402.663.758.078.300
